mode,total_images,success_count,success_rate,avg_inference_time_ms,avg_error_mm,std_error_mm,min_error_mm,max_error_mm,avg_confidence
opencv,3,3,1.0,3.5858154296875,68.29320884452387,33.27324286494032,41.31448771822013,115.17080821890691,0.6999999999999998
yolo,3,3,1.0,75.92837015787761,39.47301314821356,17.18582879247599,24.702186827054106,63.57357166469888,0.7181144754091898
hybrid,3,3,1.0,36.39650344848633,68.29320884452387,33.27324286494032,41.31448771822013,115.17080821890691,0.7181144754091898
