mode,total_images,success_count,success_rate,avg_inference_time_ms,avg_error_mm,std_error_mm,min_error_mm,max_error_mm,avg_confidence
opencv,6,6,1.0,1.9564231236775715,133.94853697833358,69.75982132892923,41.31448771822018,201.7557420895713,0.7000000000000001
yolo,6,6,1.0,39.48195775349935,70.39653840889387,45.600432711023245,24.702186827054145,135.36017792989267,0.6605038742224375
hybrid,6,6,1.0,33.85599454243978,131.38287065221354,67.87562452160998,41.31448771822018,205.46092842328179,0.6605038742224375
