mode,total_images,success_count,success_rate,avg_inference_time_ms,avg_error_mm,std_error_mm,min_error_mm,max_error_mm,avg_confidence
opencv,3,3,1.0,2.210696538289388,58.53004891731708,27.154298371156703,33.66047641374078,96.30575371326472,0.6999999999999998
yolo,3,3,1.0,38.64598274230957,30.7628634556181,12.672849287525288,16.91347330030116,47.53882534728851,0.7181144754091898
hybrid,3,3,1.0,30.379851659138996,58.53004891731708,27.154298371156703,33.66047641374078,96.30575371326472,0.7181144754091898
