mode,total_images,success_count,success_rate,avg_inference_time_ms,avg_error_mm,std_error_mm,min_error_mm,max_error_mm,avg_confidence
opencv,8,8,1.0,2.217531204223633,70.18799636600838,47.28388619596743,18.499478097988224,117.82237000206582,0.7
yolo,8,5,0.625,493.0283725261688,19.314293820403268,4.082846009464655,14.258190387997457,27.151856160368528,0.5879444666206837
hybrid,8,5,0.625,339.4935727119446,102.19623380376845,85.5632227097747,18.499478097988224,215.22260441512938,0.5670341665165306
