mode,total_images,success_count,success_rate,avg_inference_time_ms,avg_error_mm,std_error_mm,min_error_mm,max_error_mm,avg_confidence
opencv,11,11,1.0,3.9933161302046343,132.61236896539293,54.259847085783704,41.31448771822018,201.7557420895713,0.7000000000000001
yolo,11,10,0.9090909090909091,315.67209417169744,161.32968135921064,267.54264413832715,24.702186827054145,999.0,0.6124531030654907
hybrid,11,10,0.9090909090909091,185.77831441705877,213.19522967885322,254.4799883749394,41.31448771822018,999.0,0.6124531030654907
